"Latitude.1" "Longitude.1" "Latitude.2" "Longitude.2"
"413" 41.750514 -87.652527 41.722338 -87.623747
"414" 41.750514 -87.652527 41.883209 -87.632106
"415" 41.749124 -87.605437 41.750669 -87.611275
"416" 41.749124 -87.605437 41.934692 -87.783377
"417" 41.749124 -87.605437 41.85601854 -87.73222097
"418" 41.749124 -87.605437 41.752131 -87.584054
"419" 41.784144 -87.610566 41.888303 -87.738185
"420" 41.784144 -87.610566 41.777291 -87.635307
"421" 41.784144 -87.610566 41.747188 -87.661167
"422" 41.784144 -87.610566 41.879814 -87.765052
"423" 41.784144 -87.610566 41.747579 -87.549986
"424" 41.784144 -87.610566 41.89814353 -87.72128663
"425" 41.784144 -87.610566 41.91856 -87.764709
"426" 41.784144 -87.610566 41.68388807 -87.62838254
"427" 41.784144 -87.610566 41.692827 -87.605031
"428" 41.784144 -87.610566 41.91111 -87.626004
"429" 41.784144 -87.610566 41.88697 -87.745512
"430" 41.784144 -87.610566 41.776762 -87.612675
"431" 41.784144 -87.610566 41.801868 -87.629676
"432" 41.784144 -87.610566 41.71469287 -87.60909886
"433" 41.784144 -87.610566 41.876538 -87.764725
"434" 41.784144 -87.610566 41.733073 -87.549941
"435" 41.784144 -87.610566 41.909424 -87.76177
"436" 41.784144 -87.610566 41.692827 -87.605031
"437" 41.88485404 -87.73069414 41.88225812 -87.74043731
"438" 41.88485404 -87.73069414 41.74639095 -87.61023945
"439" 41.88485404 -87.73069414 41.769599 -87.581728
"440" 41.88485404 -87.73069414 41.758653 -87.562728
"441" 41.88225812 -87.74043731 41.74639095 -87.61023945
"442" 41.88225812 -87.74043731 41.769599 -87.581728
"443" 41.88225812 -87.74043731 41.758653 -87.562728
"444" 41.76338157 -87.64921803 41.87633 -87.729547
"445" 41.76338157 -87.64921803 41.779383 -87.669079
"446" 41.76338157 -87.64921803 41.7993 -87.673569
"447" 41.76338157 -87.64921803 41.909591 -87.773327
"448" 41.76338157 -87.64921803 41.873699 -87.704716
"449" 41.76338157 -87.64921803 41.764846 -87.669887
"450" 41.76338157 -87.64921803 41.75409358 -87.60568904
"451" 41.76338157 -87.64921803 41.736591 -87.658223
"452" 41.76338157 -87.64921803 41.702531 -87.563226
"453" 41.77431599 -87.64459275 41.78663501 -87.65953826
"454" 41.77431599 -87.64459275 41.792979 -87.782173
"455" 41.77431599 -87.64459275 41.752304 -87.644085
"456" 41.77431599 -87.64459275 41.843993 -87.726999
"457" 41.77431599 -87.64459275 41.735873 -87.657381
"458" 41.77431599 -87.64459275 41.887742 -87.760377
"459" 41.77431599 -87.64459275 41.790981 -87.650793
"460" 41.77431599 -87.64459275 41.721608 -87.537302
"461" 41.77431599 -87.64459275 41.768622 -87.659066
"462" 41.77431599 -87.64459275 41.882793 -87.728181
"463" 41.77431599 -87.64459275 41.923954 -87.722735
